query;doc_id;judul;snippet;Relevant
foto;1891;[SALAH] Foto Sebuah Rumah yang Dibangun Miring;Hasil periksa fakta Vendra Panji Faktanya rumah tersebut dibangun di jalan yang curam, sehingga jika difoto dengan sudut pandang tertentu maka akan menghasilkan foto yang membuat seolah-olah bangunan ;1
foto;2923;[SALAH] FOTO BENYAMIN NETANYAHU TERBARING DI ATAS TEMPAT TIDUR DAN MEMAKAI ALAT PERNAPASAN;Hasil Periksa Fakta Gabriela Nauli Faktanya, foto tersebut merupakan hasil editan menggunakan teknologi AI. Selengkapnya ada di penjelasan. =====[KATEGORI]: FABRICATED CONTENT/Konten Palsu =====[SUMBE;1
foto;1772;[PENIPUAN] Maia Estianty dan Irwan Mussry Jadi Perwakilan Brand Smartwatch Jepang;Hasil periksa fakta Vendra Panji Faktanya foto yang beredar di Facebook tersebut adalah hasil manipulasi, Maia dan suami bukan merupakanbrand ambassadorsuatu produk jam tangan pintar apapun. Foto ters;1
foto;2798;[SALAH] Foto Prabowo Subianto dan Titiek Soeharto Naik Kereta Cepat;Hasil Periksa Fakta Dyah Febriyani Foto tersebut hasil editan. Foto aslinya Prabowo duduk berhadapan dengan Presiden Jokowi di dalam Kereta Api Cepat Indonesia dari Stasiun Halim, Jakarta Timur, menuj;1
foto;2159;[SALAH] Foto Para Pekerja Mesir Membangun Piramida Tahun 2549 SM;Hasil periksa fakta Raymondha Foto dengan klaim para pekerja piramida di Mesir selama masa pembangunan pada tahun 2549 SM adalah salah. Faktanya foto tersebut teridentifikasi bukanlah foto asli. Namun;1
foto;2030;[SALAH] Foto “Pemain Kriket Membentuk Lafadz Allah SWT”;Foto tersebut merupakan hasil buatan Artificial Intelligence (AI). Selengkapnya di bagian PENJELASAN dan REFERENSI.===========================================Kategori: Parodi==========================;1
foto;1012;[SALAH] Foto “Nelayan Papua Menangkap Hewan yang Belum Pernah Terlihat Sebelumnya”;Hasil periksa fakta Moch. Marcellodiansyah Faktanya foto-foto tersebut merupakan gambar hasil AI-generated dengan besaran persentasi probabilitas hingga 98,9%. = = = Kategori: Konten Palsu = = = Sumbe;1
penipuan;2056;[PENIPUAN] Taylor Swift Meminta Bantuan Dana;Hasil periksa fakta Agnes A Upaya penipuan dengan mencatut nama penyanyi Taylor Swift. ===== [KATEGORI]: Konten Tiruan ===== [SUMBER]: WhatsApp ===== [NARASI]: “Halo saya Taylor Swift. Bisa berbahasa ;1
penipuan;2057;[PENIPUAN] Lowongan Freelance Like dan Subscribe Youtube;Hasil periksa fakta Agnes A Modus penipuan. Korban akan diarahkan untuk mengirimkan sejumlah uang dan diiming-imingi keuntungan berlipat. ===== [KATEGORI]: Konten Palsu ===== [SUMBER]: WhatsApp ===== ;1
penipuan;1160;[PENIPUAN] Unggahan RANS Entertainment Berbagi Rezeki Menjelang Hari Batik Nasional 2 Oktober;Hasil periksa fakta Syifa Ainun. Unggahan pada akun Facebook Raya Rafa yang memberikan klaim RANS Entertainment akan berbagi rezeki menjelang hari batik adalah tidak benar dan terindikasi penipuan. Ha;1
penipuan;1934;[PENIPUAN] Akun Tiktok @baimwong.0ficiall Berisi Banyak Konten Giveaway;Hasil periksa fakta Vendra Panji Tidak benar bahwa akun tersebut adalah akun resmi milik Baim Wong, akun hanya berisi mengenai konten giveaway uang dan disertai sebuah link Whatsapp yang dicurigai seb;1
penipuan;1042;[PENIPUAN] Lowongan Kerja di KP2KP Makale;Hasil periksa fakta Rahmah. Faktanya melalui akun Facebook Pajak Kendari menegaskan lowongan tersebut tidak benar dan meminta masyarakat berhati-hati terhadap penipuan mengatasnamakan unit kerja di wi;1
penipuan;1175;[PENIPUAN] Video Bantuan 10 Juta dari Jokowi dengan Syarat Bagikan Video Sebanyak-banyaknya;Hasil periksa fakta Moch. Marcellodiansyah Setelah diidentifikasi dengan pendeteksi AI dari Hive Moderation, video tersebut terdeteksi sebesar 94,8% berisi konten buatan AI atau deepfake. Dapat dipast;1
penipuan;411;[PENIPUAN] Ada Komisi “Menonton Video” dari Platform YouKu;Tim Pemeriksa Fakta Mafindo (TurnBackHoax) pada September 2024 menemukan sebaran info dari WhatsApp (WA) [arsip] berisi narasi: “HALO REKAN-REKAN DAN SAUDARA SEKALIAN YANG SUDAH DI INVITE KE DALAM GRO;1
penipuan;2844;[SALAH] Akun WhatsApp Kakanwil Kemenag Sulsel Tawarkan Bantuan;Hasil periksa fakta Rahmah. Polres Kubu Raya menyampaikan pesan WhatsApp tersebut merupakan modus penipuan. KATEGORI:IMPOSTER CONTENT/KONTEN TIRUAN SUMBER:WhatsApp NARASI:“0821 4572 0858MUH.TONANG, S.;1
penipuan;1437;[PENIPUAN] Lowongan Kerja Petugas Kebersihan Puskesmas Sidoarjo;Hasil periksa fakta Rahmah. Puskesmas Sidoarjo membantah lowongan yang beredar dan menegaskan postingan tersebut merupakan modus penipuan. KATEGORI: FABRICATED CONTENT SUMBER: Facebookhttps://archive.;1
penipuan;44;[PENIPUAN] Tautan dan Nomor WA “Pengaduan Penipuan Online”;Pada Kamis (13/3/2025) akun Facebook “Pengaduan penipuan online” membagikantautan[arsip] : “Saudara pernah mengalami kejadian ditipu lewat online silahkan di laporkan agar dana nya bisa kembali baik d;1
penipuan;1068;[PENIPUAN] Akun Tiktok @hondajot572 Berisi Banyak Konten Giveaway; Periksa Fakta VaniaFaktanya, akun tersebut bukanlah akun resmi milik PT. Astra Honda Motor. Akun tersebut dapat diindikasi sebagai akun penipuan. =========== [KATEGORI]: Konten tiruan =========== [SU;1
penipuan;1583;[PENIPUAN] Bantuan Sosial Tunai Rp35Juta Bagi Sekeluarga dari BPJS;Hasil periksa fakta Moch. Marcellodiansyah Narasi yang diberikan dalam postingan tersebut serupa dengan artikel laporan yang sudah dibantah kebenarannya oleh Pemeriksa Fakta Mafindo di turnbackhoax.id;1
penipuan;1585;[PENIPUAN] Postingan Testimoni Hadiah Uang Tunai 30 Juta dari Baim Wong;Hasil periksa fakta Moch. Marcellodiansyah Baim Wong sudah beberapa kali namanya dicatut untuk modus penipuan, tidak ada pemberitahuan resmi dari Baim Wong melalui kanal media sosialnya terkait pember;1
penipuan;2866;[SALAH] Akun Tiktok Prabowo Akan Giveaway 1 Unit Motor Jika Tembus 200 Ribu Follower;Hasil periksa fakta Panji Tidak benar bahwa Prabowo Subianto motor jika akun Tiktoknya menyentuh angka 200 ribu pengikut, akun yang mengatasnamakan Prabowo tersebut dapat diindikasi sebagai akun penip;1
penipuan;1076;[PENIPUAN] Akun Tiktok @giveaway.baim.wonq Berisi Konten Giveaway; Periksa Fakta VaniaFaktanya, akun tersebut bukanlah akun resmi milik Baim Wong. Akun tersebut hanya berisi beberapa konten mengenai giveaway berupa uang dengan jumlah puluhan juta rupiah dan  diserta;1
penipuan;2231;[PENIPUAN] Gebyar Undian Berhadiah untuk Nasabah Maybank;Hasil periksa fakta Raymondha Informasi tentang adanya gebyar undian berhadiah untuk nasabah Maybank disertai link tautan adalah tidak benar. Faktanya, tautan dari unggahan tersebut meminta data priba;1
penipuan;1083;[PENIPUAN] Bantuan Sosial Senilai Rp27.300.000 dari BPJS yang Diklaim dengan Mengirim Kode;Hasil periksa fakta Moch. Marcellodiansyah Postingan tersebut merupakan konten tiruan yang digunakan untuk menipu. Calon korban penipuan diarahkan untuk menghubungi terlebih dahulu dengan modus mengkl;1
penipuan;2639;[SALAH] Akun WhatsApp Sekda Kalimantan Tengah Nuryakin;Hasil periksa fakta Rahmah. Nuryakin memberikan klarifikasi akun WhatsApp tersebut merupakan modus penipuan. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN ===SUMBER: WhatsApp ===NARASI:“A: Selamat siangB:;1
penipuan;2257;[PENIPUAN] 𝐏𝐫𝐨𝐠𝐫𝐚𝐦 Happy Anniversary 58 Th 𝐁𝐏𝐃 BANK PAPUA;Hasil periksa fakta Panji Akun Facebook resmi dari Bank Papua (facebook.com/bankpapua1966). Di akun resminya ini, Bank Papua pernah membuat unggahan yang berisi daftar akun resmi media sosial Bank Pap;1
penipuan;2139;[PENIPUAN] APK Voice Note di WhatsApp;Hasil periksa fakta Agnes A Upaya penipuan. File yang dikirimkan merupakan ekstensi file APK yang dapat berisi malware dan upaya peretasan perangkat. ===== [KATEGORI]: Konten Tiruan ===== [SUMBER]: Wh;1
jokowi;1541;[PENIPUAN] Bantuan Uang dari Presiden Jokowi Bagi yang Sudah Follow Tiktok;Hasil periksa fakta Panji Faktanya video tersebut adalah video ketika Jokowi memberikan pernyataan untuk melarang rakyat Indonesia berjudi baik secara online atau offline. Tidak ada pernyataan dari Jo;1
jokowi;2054;[SALAH] Presiden Jokowi tegaskan bila kasus Vina tidak terpecahkan,, akan memecat polri cirebon!!;Hasil periksa fakta Dyah Febriyani Video pidato Jokowi pada unggahan TikTok tersebut bukan membahas mengenai kasus pembunuhan Vina Cirebon. Aslinya, video Jokowi tersebut membahas tentang pemerintah y;1
jokowi;1672;[PENIPUAN] Menjelang Hari Kemerdekaan Indonesia Presiden Jokowi Berikan 50 Juta untuk Follower Tiktoknya;Hasil periksa fakta Vendra Panji Faktanya video tersebut adalah video ketika Jokowi meresmikan Peluncuran Digitalisasi Layanan Perizinan Penyelenggaraan Event, di The Tribrata Kebayoran Baru Jakarta. ;1
jokowi;1674;[SALAH] Foto Bapaknya Jokowi Seorang Tentara Komunis;Hasil periksa fakta Amanda Rahma Foto yang digunakan dalam unggahan tersebut bukanlah bapak dari Presiden Indonesia melainkan Jenderal Wang Zhen yang menjadi salah satu tetua Partai Komunis Tiongkok. ;1
jokowi;2187;[PENIPUAN] Akun Tiktok @jokowi83516 Berisi Konten Giveaway;Hasil periksa fakta Vendra Panji Tidak benar bahwa akun Tiktok @jokowi83516 yang berisi banyak konten giveaway ini adalah milik pihak Presiden Jokowi, akun yang mengatasnamakan Jokowi tersebut dapat d;1
jokowi;1684;[SALAH] Presiden Jokowi Ternyata Berijazah Palsu;Periksa Fakta Lilik Faktanya, narasi yang menyatakan ijazah Jokowi palsu tidaklah benar. Ijazah Jokowi telah dinyatakan asli oleh pihak UGM. ===== KATEGORI: Konten yang menyesatkan ===== Sumber: X/Twi;1
jokowi;1816;[PENIPUAN] Jokowi Bagi Bagi Uang Untuk Pemegang Buku Rekening Bank BCA, BNI, BRI, dan Mandiri; Periksa Fakta Vania.Faktanya, Tidak benar bahwa Presiden Jokowi memberikan uang bagi pengguna bank BCA,BNI, BRI dan Mandiri. Akun yang mengatasnamakan Jokowi tersebut juga bukan merupakan akun resmi ;1
jokowi;2969;[SALAH] Jokowi Uji Coba Program Makan Siang Gratis;Hasil periksa fakta Amanda Rahma Video yang menampilkan Presiden Jokowi sedang menikmati jagung rebus dan mengklaim bahwa Jokowi melakukan uji coba program makan siang gratis tidaklah benar. Video ini;1
jokowi;2972;[SALAH] Gambar Jokowi pimpin Salat Id di Solo;Hasil Periksa Fakta Luthfiyah Gambar yang diklaim Jokowi menjadi pemimpin salat Id di Solo tidak benar. Faktanya, gambar tersebut diambil saat Jokowi menjadi imam salat di Afghanistan tahun 2018. Joko;1
jokowi;2207;[SALAH] MPR Gelar Sidang Istimewa Lengserkan Jokowi;Hasil periksa fakta Amanda Rahma Faktanya, tidak benar pernyataan yang menyebutkan bahwa MPR menggelar sidang istimewa untuk lengserkan Jokowi. Isi video berbeda dengan judul yang diangkat. Video ters;1
jokowi;1825;[SALAH] JOKOWI PALSUKAN IBUNYA;Hasil Periksa Fakta Gabriela Nauli Faktanya, unggahan yang beredar ini merupakan hoaks lama yang kembali beredar. Selengkapnya ada di penjelasan. =====[KATEGORI]: MISLEADING CONTENT/Konten Menyesatkan;1
jokowi;2723;[SALAH] Data Pribadi Jokowi Bocor, Ayahnya Narapidana Eks PKI;Hasil periksa fakta Amanda Rahma Faktanya, pernyataan yang mengklaim bahwa ayah Jokowi narapidana dan masih hidup tidaklah benar. Ayah Jokowi bernama Notomiharjo dan diketahui sudah meninggal pada tah;1
jokowi;1965;[SALAH] JOKOWI OBRAL IKN 190 TAHUN UNTUK ASING;Hasil periksa fakta Pekik Jalu Utomo.Faktanya dalam video tersebut tidak ditemukan informasi valid bahwa Presiden Jokowi obral IKN hingga 190 tahun untuk asing. Selain thumbnail merupakan hasil manipu;1
